18,index_name,2,12,5439759,192,0,
18,column_name,3,12,5439759,192,0,
18,cardinality,4,6,1544,8,0,
18,cached_time,5,3,525575,4,0,
19,id,0,6,1800,8,0,
19,table_id,1,6,1800,8,0,
19,name,2,12,4981007,192,0,
19,type,3,6,1022,1,0,
19,algorithm,4,6,1022,1,0,
19,is_algorithm_explicit,5,6,1281,1,0,
19,is_visible,6,6,1281,1,0,
19,is_generated,7,6,1281,1,0,
19,hidden,8,6,1281,1,0,
19,ordinal_position,9,6,1795,4,0,
19,comment,10,12,5443855,6144,0,
19,options,11,5,5439740,11,0,
19,se_private_data,12,5,5439740,11,0,
19,tablespace_id,13,6,1544,8,0,
19,engine,14,12,2162959,192,0,
20,parameter_id,0,6,1800,8,0,
20,element_index,1,6,1795,4,0,
20,name,2,4,4134159,1020,0,
21,id,0,6,1800,8,0,
21,routine_id,1,6,1800,8,0,
21,ordinal_position,2,6,1795,4,0,
21,mode,3,6,766,1,0,
21,name,4,12,2162703,192,0,
21,data_type,5,6,1022,1,0,
21,data_type_utf8,6,5,5439996,11,0,
21,is_zerofill,7,6,1025,1,0,
21,is_unsigned,8,6,1025,1,0,
21,char_length,9,6,1539,4,0,
21,numeric_precision,10,6,1539,4,0,
21,numeric_scale,11,6,1539,4,0,
21,datetime_precision,12,6,1539,4,0,
21,collation_id,13,6,1544,8,0,
21,options,14,5,5439740,11,0,
22,id,0,6,1800,8,0,
22,resource_group_name,1,12,2162959,192,0,
22,resource_group_type,2,6,1022,1,0,
22,resource_group_enabled,3,6,1281,1,0,
22,cpu_id_mask,4,12,5443855,3072,0,
22,thread_priority,5,6,1283,4,0,
22,options,6,5,5439740,11,0,
23,id,0,6,1800,8,0,
23,schema_id,1,6,1800,8,0,
23,name,2,12,2162959,192,0,
23,type,3,6,1022,1,0,
23,result_data_type,4,6,766,1,0,
23,result_data_type_utf8,5,5,5439996,11,0,
23,result_is_zerofill,6,6,1025,1,0,
23,result_is_unsigned,7,6,1025,1,0,
23,result_char_length,8,6,1539,4,0,
23,result_numeric_precision,9,6,1539,4,0,
23,result_numeric_scale,10,6,1539,4,0,
23,result_datetime_precision,11,6,1539,4,0,
23,result_collation_id,12,6,1544,8,0,
23,definition,13,5,4130044,12,0,
23,definition_utf8,14,5,5439740,12,0,
23,parameter_str,15,5,4130044,10,0,
23,is_deterministic,16,6,1281,1,0,
23,sql_data_access,17,6,1022,1,0,
23,security_type,18,6,1022,1,0,
23,definer,19,12,5443855,864,0,
23,sql_mode,20,6,1022,8,0,
23,client_collation_id,21,6,1800,8,0,
23,connection_collation_id,22,6,1800,8,0,
23,schema_collation_id,23,6,1800,8,0,
23,created,24,3,525575,4,0,
23,last_altered,25,3,525575,4,0,
23,comment,26,5,5439996,10,0,
23,options,27,5,5439740,11,0,
23,external_language,28,12,5439759,192,0,
24,id,0,6,1800,8,0,
24,catalog_id,1,6,1800,8,0,
24,name,2,12,4981007,192,0,
24,default_collation_id,3,6,1800,8,0,
24,created,4,3,525575,4,0,
24,last_altered,5,3,525575,4,0,
24,options,6,5,5439740,11,0,
24,default_encryption,7,6,1022,1,0,
24,se_private_data,8,5,5439740,11,0,
25,id,0,6,1795,4,0,
25,catalog_id,1,6,1800,8,0,
25,name,2,12,2162959,240,0,
25,last_altered,3,3,525575,4,0,
25,created,4,3,525575,4,0,
25,organization,5,12,2166799,768,0,
25,organization_coordsys_id,6,6,1539,4,0,
25,definition,7,12,5443855,12288,0,
25,description,8,12,5443599,6144,0,
25,options,9,5,5439740,11,0,
26,partition_id,0,6,1800,8,0,
26,list_num,1,6,1793,1,0,
26,column_num,2,6,1793,1,0,
26,value_utf8,3,5,5439740,10,0,
26,max_value,4,6,1281,1,0,
27,id,0,6,1800,8,0,
27,table_id,1,6,1800,8,0,
27,parent_partition_id,2,6,1544,8,0,
27,number,3,6,1794,2,0,
27,name,4,12,4981007,192,0,
27,description_utf8,5,5,5439740,10,0,
27,engine,6,12,2162959,192,0,
27,comment,7,12,5443855,6144,0,
27,options,8,5,5439740,11,0,
27,se_private_data,9,5,5439740,11,0,
27,se_private_id,10,6,1544,8,0,
27,tablespace_id,11,6,1544,8,0,
28,schema_name,0,12,5439759,192,0,
28,table_name,1,12,5439759,192,0,
28,table_rows,2,6,1544,8,0,
