4294967294,2,1
4294967294,3,1
4294967294,4,1
4294967294,5,1
4294967294,6,1
4294967294,7,1
4294967294,8,1
4294967294,9,1
4294967294,10,1
4294967294,11,1
4294967294,12,1
4294967294,14,1
4294967294,15,2
4294967294,17,1
4294967294,18,1
4294967294,19,1
4294967294,21,2
4294967294,22,55
4294967294,23,14
4294967294,24,1
4294967294,25,2
4294967294,26,1
4294967294,27,1
4294967294,32,1
4294967294,35,1
4294967294,37,1
4294967294,38,1
4294967294,39,3
4294967294,40,2
4294967294,41,1
4294967294,45,1
4294967294,46,3
4294967294,47,1
4294967294,48,1
4294967294,55,7
4294967294,56,1
4294967294,57,1
4294967294,58,1
4294967294,59,1
4294967294,60,1
4294967294,61,1
4294967294,62,1
4294967294,70,1
4294967294,75,1
4294967294,76,34
4294967294,77,1
4294967294,78,1
4294967294,79,1
4294967294,80,1
4294967294,81,1
4294967294,82,1
4294967294,83,1
4294967294,84,1
4294967294,85,1
4294967294,86,1
4294967294,87,1
4294967294,88,1
4294967294,91,1
4294967294,95,1
4294967294,97,1
4294967294,98,1
56,197,1
57,198,1
58,199,1
