0,40,0,0,UNKNOWN,0,0,NO,0,0,0,,,0,0,0,NOT_USED,IO_NONE,NO,0
0,41,0,0,UNKNOWN,0,0,NO,0,0,0,,,0,0,0,NOT_USED,IO_NONE,NO,0
0,42,0,0,UNKNOWN,0,0,NO,0,0,0,,,0,0,0,NOT_USED,IO_NONE,NO,0
0,43,0,0,UNKNOWN,0,0,NO,0,0,0,,,0,0,0,NOT_USED,IO_NONE,NO,0
0,44,0,0,UNKNOWN,0,0,NO,0,0,0,,,0,0,0,NOT_USED,IO_NONE,NO,0
0,45,0,0,UNKNOWN,0,0,NO,0,0,0,,,0,0,0,NOT_USED,IO_NONE,NO,0
0,46,0,0,UNKNOWN,0,0,NO,0,0,0,,,0,0,0,NOT_USED,IO_NONE,NO,0
0,47,0,0,UNKNOWN,0,0,NO,0,0,0,,,0,0,0,NOT_USED,IO_NONE,NO,0
0,48,0,0,UNKNOWN,0,0,NO,0,0,0,,,0,0,0,NOT_USED,IO_NONE,NO,0
0,49,0,0,UNKNOWN,0,0,NO,0,0,0,,,0,0,0,NOT_USED,IO_NONE,NO,0
0,50,0,0,UNKNOWN,0,0,NO,0,0,0,,,0,0,0,NOT_USED,IO_NONE,NO,0
0,51,4294967294,27,INDEX,0,0,NO,0,0,870092,`mysql`.`columns`,table_id_2,7,203,0,FILE_PAGE,IO_NONE,NO,1702
0,52,4294967294,1038,INDEX,1,0,NO,21656833,0,870092,`mysql`.`columns`,table_id_2,601,15025,0,FILE_PAGE,IO_NONE,NO,1702
0,53,4294967294,28,INDEX,0,0,NO,0,0,870092,`mysql`.`columns`,collation_id,8,208,0,FILE_PAGE,IO_NONE,NO,1702
0,54,4294967294,408,INDEX,1,0,NO,21656187,0,870092,`mysql`.`columns`,collation_id,596,13112,0,FILE_PAGE,IO_NONE,NO,1702
0,55,4294967294,5,INDEX,1,0,NO,21676696,0,644055,`mysql`.`innodb_dynamic_metadata`,PRIMARY,15,561,0,FILE_PAGE,IO_NONE,NO,1782
0,56,4294967294,1,IBUF_BITMAP,1,0,NO,21655780,0,644055,,,0,0,0,FILE_PAGE,IO_NONE,NO,1787
0,57,4294967294,81,INDEX,1,0,NO,21654443,0,870084,`mysql`.`tables`,schema_id,342,15027,0,FILE_PAGE,IO_NONE,NO,1787
0,58,4294967294,80,INDEX,1,0,NO,21665110,0,870084,`mysql`.`tables`,PRIMARY,34,680,0,FILE_PAGE,IO_NONE,NO,1787
0,59,4294967294,29,INDEX,0,0,NO,0,0,870092,`mysql`.`columns`,srs_id,4,72,0,FILE_PAGE,IO_NONE,NO,1702
0,60,4294967294,154,INDEX,1,0,NO,21656873,0,870093,`mysql`.`columns`,srs_id,1075,15050,0,FILE_PAGE,IO_NONE,NO,1702
0,61,4294967294,184,INDEX,1,0,NO,21656853,0,870093,`mysql`.`columns`,collation_id,687,15114,0,FILE_PAGE,IO_NONE,NO,1702
0,62,4294967294,82,INDEX,1,0,NO,21669917,0,870093,`mysql`.`tables`,engine,342,7948,0,FILE_PAGE,IO_NONE,NO,1702
0,63,4294967294,22,INDEX,0,0,NO,0,0,870087,`mysql`.`column_statistics`,catalog_id,0,0,0,FILE_PAGE,IO_NONE,NO,1787
0,64,4294967294,6,INDEX,1,0,NO,21675287,0,870088,`mysql`.`innodb_table_stats`,PRIMARY,7,428,0,FILE_PAGE,IO_NONE,NO,1782
0,65,4294967294,83,INDEX,1,0,NO,21654552,0,870093,`mysql`.`tables`,engine_2,342,7062,0,FILE_PAGE,IO_NONE,NO,1702
0,66,4294967294,161,INDEX,0,0,NO,0,0,3144447,`mysql`.`column_type_elements`,PRIMARY,174,7618,0,FILE_PAGE,IO_NONE,NO,1823
0,67,4294967294,109,INDEX,0,0,YES,0,0,3144447,`mysql`.`columns`,PRIMARY,66,15055,0,FILE_PAGE,IO_NONE,NO,1823
